"DisplayName","InstallLocation"
"NVIDIA App 11.0.4.148","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.{CC387AC0-3C46-4C39-AE0B-EAEACA7BAF0D}"
"NVIDIA MessageBus 3 for NvApp","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.MessageBus.{60288EE2-0E3B-4706-A442-4130B626BFB1}"
"NVIDIA Backend","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.NvBackend.{CBA27998-3116-442C-A31C-8A39F99D872C}"
"NvCpl","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.NvCPL.{947B834C-23EA-47FD-9CAF-2B71F40359BA}"
"NVIDIA PhysX System Software 9.23.1019","C:\Program Files (x86)\NVIDIA Corporation\PhysX"
"CUDA Documentation","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.8"
"CUDA Documentation","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA FrameView SDK 1.5.10920.35420203","C:\Program Files\NVIDIA Corporation\FrameViewSDK"
"NVIDIA HD Audio Driver 1.4.3.2","C:\Program Files\NVIDIA Corporation\Installer2\HDAudio.Driver.{A903440A-7378-4132-9050-D5AE2A0E1465}"
"NVIDIA Install Application","C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore"
"NPP Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NPP Development","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA CUDA Nsight NVTX 11.8","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.8"
"nvcc","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
"NVIDIA Container","C:\Program Files\NVIDIA Corporation\NvContainer"
"NVIDIA AIUser Container","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.AIUser.{5523480F-EC2B-4FFC-9A71-290A03193946}"
"NVIDIA LocalSystem Container","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.LocalSystem.{407C2A87-8FCF-421D-8F6E-FAF083D80054}"
